data_venda,nome_cliente,estado,nome_produto,categoria,quantidade,preco_unitario,total_venda,quantidade_estoque,localizacao_estoque,ano,mes,dia,dia da semana
2025-03-15,Gabrielly Dias,BA,Leite,Alimentos,8,"2.756,99",22055.92,137,D1-A2-B1,2025,3,15,7
2025-01-22,Ian Pereira,BA,Fone de Ouvido,Eletrônicos,7,"464,28",3249.96,130,D1-A2-B1,2025,1,22,4
2025-05-07,Maria Clara Rodrigues,BA,Jogo de Tabuleiro,Brinquedos,3,"2.105,64",6316.92,181,B2-A1-C2,2025,5,7,4
2025-04-24,Daniela da Costa,BA,Bola,Brinquedos,8,"2.772,87",22182.96,105,C3-A2-B2,2025,4,24,5
2024-12-29,Heloísa da Rosa,BA,Feijão,Alimentos,6,"896,99",5381.94,196,D1-A2-B1,2024,12,29,1
2025-02-04,Bárbara Correia,BA,Calça Jeans,Vestuário,4,"1.182,29",4729.16,233,B2-A1-C2,2025,2,4,3
2025-03-31,Milena Cavalcanti,BA,Sofá,Móveis,3,"1.022,47",3067.41,139,A2-B2-C1,2025,3,31,2
2025-02-20,"Sra, Yasmin Freitas",BA,Sofá,Móveis,1,"1.157,85",1157.85,181,A2-B2-C1,2025,2,20,5
2025-06-10,Renan Nogueira,BA,Jogo de Tabuleiro,Brinquedos,10,"746,31",7463.1,207,C3-A2-B2,2025,6,10,3
2025-05-27,"Dr, André Cunha",BA,Leite,Alimentos,10,"1.081,36",10813.6,256,D1-A2-B1,2025,5,27,3
2025-01-23,Vitória Oliveira,BA,Feijão,Alimentos,8,"1.407,58",11260.64,193,C3-A2-B2,2025,1,23,5
2024-12-27,Thales Pereira,BA,Fone de Ouvido,Eletrônicos,9,"1.839,57",16556.13,268,A2-B2-C1,2024,12,27,6
2025-02-02,Cauê Dias,BA,Quebra-Cabeça,Brinquedos,1,"1.718,77",1718.77,156,A2-B2-C1,2025,2,2,1
2025-02-28,"Sra, Isabella Porto",MG,Arroz,Alimentos,7,"1.970,61",13794.27,60,D1-A2-B1,2025,2,28,6
2025-04-13,Luiza Barbosa,MG,Quebra-Cabeça,Brinquedos,7,"1.150,43",8053.01,253,A1-B1-C1,2025,4,13,1
2025-05-05,Daniel Nunes,MG,Feijão,Alimentos,3,"366,45",1099.35,98,A1-B1-C1,2025,5,5,2
2025-04-01,Ana Luiza Cavalcanti,MG,Boneca,Brinquedos,9,"2.134,06",19206.54,251,B2-A1-C2,2025,4,1,3
2024-12-15,Ryan Costa,MG,Camiseta,Vestuário,3,"2.208,48",6625.44,148,C3-A2-B2,2024,12,15,1
2025-04-27,Laís Pires,MG,Leite,Alimentos,4,"56,89",227.56,210,A1-B1-C1,2025,4,27,1
2025-05-27,Davi Lucca Cardoso,MG,Smartphone,Eletrônicos,2,"40,59",81.18,108,B2-A1-C2,2025,5,27,3
2024-12-22,Emanuelly Correia,MG,Smartphone,Eletrônicos,1,"840,27",840.27,110,B2-A1-C2,2024,12,22,1
2024-12-15,Levi Correia,MG,Café,Alimentos,4,"1.069,52",4278.08,188,A2-B2-C1,2024,12,15,1
2025-03-17,Luna Porto,MG,Tênis,Vestuário,2,"2.607,24",5214.48,250,C3-A2-B2,2025,3,17,2
2025-01-26,Kaique Gonçalves,MG,Estante,Móveis,6,"2.597,60",15585.6,152,A1-B1-C1,2025,1,26,1
2025-02-20,"Dra, Emanuella Gonçalves",MG,Sofá,Móveis,1,"791,68",791.68,143,B2-A1-C2,2025,2,20,5
2025-01-03,Luiz Henrique Pereira,MG,Smartphone,Eletrônicos,7,"1.498,73",10491.11,199,A1-B1-C1,2025,1,3,6
2025-03-25,Juan da Mata,MG,Calça Jeans,Vestuário,10,"1.588,87",15888.7,146,D1-A2-B1,2025,3,25,3
2025-04-25,Ana Júlia Melo,MG,Camiseta,Vestuário,6,"2.364,33",14185.98,234,D1-A2-B1,2025,4,25,6
2025-04-24,Thiago Sales,MG,Cadeira,Móveis,2,"2.146,10",4292.2,161,D1-A2-B1,2025,4,24,5
2025-04-13,Rafaela Silva,MG,Boneca,Brinquedos,3,"1.042,55",3127.65,122,A2-B2-C1,2025,4,13,1
2025-05-23,"Dr, Vitor Rezende",MG,Calça Jeans,Vestuário,2,"916,94",1833.88,62,A1-B1-C1,2025,5,23,6
2025-02-04,Heloísa Vieira,MG,Boneca,Brinquedos,9,"2.022,72",18204.48,107,D1-A2-B1,2025,2,4,3
2025-05-18,"Dr, Cauê Novaes",MG,Carrinho,Brinquedos,8,"363,87",2910.96,106,A2-B2-C1,2025,5,18,1
2025-05-16,Maria Vitória Gonçalves,MG,Tênis,Vestuário,4,"2.082,79",8331.16,210,D1-A2-B1,2025,5,16,6
2025-01-20,"Dr, Anthony Pires",PE,Jogo de Tabuleiro,Brinquedos,4,"2.972,09",11888.36,140,D1-A2-B1,2025,1,20,2
2025-04-04,"Dra, Catarina Castro",PE,Tablet,Eletrônicos,10,"2.262,74",22627.4,245,C3-A2-B2,2025,4,4,6
2024-12-14,Natália da Rosa,PE,Boné,Vestuário,8,"1.148,98",9191.84,144,D1-A2-B1,2024,12,14,7
2025-03-07,Clara Viana,PE,Monitor,Eletrônicos,10,"1.798,72",17987.2,279,A2-B2-C1,2025,3,7,6
2024-12-25,Isadora Ferreira,PE,Mesa,Móveis,9,"1.385,18",12466.62,280,C3-A2-B2,2024,12,25,4
2025-01-13,Marcelo Cardoso,PE,Cadeira,Móveis,2,"999,76",1999.52,298,A2-B2-C1,2025,1,13,2
2025-03-15,Matheus Peixoto,PE,Cama,Móveis,7,"1.692,65",11848.55,277,D1-A2-B1,2025,3,15,7
2025-05-30,Bárbara Nascimento,PE,Mesa,Móveis,5,"1.264,31",6321.55,42,A2-B2-C1,2025,5,30,6
2025-05-04,Rafael Jesus,PE,Carrinho,Brinquedos,3,"1.450,82",4352.46,57,A2-B2-C1,2025,5,4,1
2025-05-28,Luiz Gustavo Freitas,PE,Monitor,Eletrônicos,6,"126,50",759.0,223,B2-A1-C2,2025,5,28,4
2025-05-27,Calebe Araújo,PE,Arroz,Alimentos,9,"1.955,20",17596.8,44,B2-A1-C2,2025,5,27,3
2025-02-15,Sofia Monteiro,PE,Boné,Vestuário,7,"2.458,52",17209.64,140,B2-A1-C2,2025,2,15,7
2024-12-22,Nicole Fogaça,PE,Arroz,Alimentos,10,"1.101,76",11017.6,227,B2-A1-C2,2024,12,22,1
2025-02-05,Bernardo Gomes,PE,Bola,Brinquedos,7,"1.653,32",11573.24,292,A1-B1-C1,2025,2,5,4
2025-04-06,Maitê Souza,PE,Bola,Brinquedos,2,"510,08",1020.16,240,D1-A2-B1,2025,4,6,1
2025-02-21,Erick Silveira,PE,Café,Alimentos,10,"1.869,88",18698.8,95,B2-A1-C2,2025,2,21,6
2025-05-09,Paulo Mendes,PE,Jogo de Tabuleiro,Brinquedos,4,"2.032,29",8129.16,293,B2-A1-C2,2025,5,9,6
2025-05-19,Ana Clara Costela,PE,Estante,Móveis,9,"589,42",5304.78,71,A2-B2-C1,2025,5,19,2
2025-01-10,Lucca Nascimento,PE,Quebra-Cabeça,Brinquedos,2,"2.631,91",5263.82,174,C3-A2-B2,2025,1,10,6
2025-05-01,Ana Luiza Castro,PE,Leite,Alimentos,5,"220,11",1100.55,110,B2-A1-C2,2025,5,1,5
2025-06-02,Sofia Lima,PE,Mesa,Móveis,8,"2.263,35",18106.8,122,A2-B2-C1,2025,6,2,2
2025-05-24,Luiza Carvalho,PE,Smartphone,Eletrônicos,10,"2.350,70",23507.0,227,A2-B2-C1,2025,5,24,7
2025-05-31,"Sr, João Felipe Castro",PE,Cadeira,Móveis,7,"1.493,85",10456.95,249,A1-B1-C1,2025,5,31,7
2025-02-22,Augusto Aragão,PE,Pão,Alimentos,6,"2.889,42",17336.52,133,B2-A1-C2,2025,2,22,7
2024-12-28,Matheus Caldeira,PE,Tênis,Vestuário,1,"2.895,27",2895.27,157,B2-A1-C2,2024,12,28,7
2025-01-25,Gabrielly Freitas,PE,Calça Jeans,Vestuário,10,"116,63",1166.3,208,B2-A1-C2,2025,1,25,7
2025-04-19,Nathan Mendes,PR,Café,Alimentos,2,"1.793,52",3587.04,280,A1-B1-C1,2025,4,19,7
2025-01-13,Pedro das Neves,PR,Jogo de Tabuleiro,Brinquedos,8,"2.391,07",19128.56,81,D1-A2-B1,2025,1,13,2
2025-03-13,Rafael Alves,PR,Pão,Alimentos,8,"2.277,06",18216.48,179,C3-A2-B2,2025,3,13,5
2025-01-18,"Dr, Caio Silveira",PR,Calça Jeans,Vestuário,4,"2.912,84",11651.36,280,C3-A2-B2,2025,1,18,7
2025-01-27,Lívia Caldeira,PR,Camiseta,Vestuário,7,"104,92",734.44,184,A1-B1-C1,2025,1,27,2
2025-04-22,Gustavo Henrique Vieira,PR,Carrinho,Brinquedos,5,"82,28",411.4,59,D1-A2-B1,2025,4,22,3
2025-05-20,Caroline da Paz,PR,Feijão,Alimentos,2,"2.985,62",5971.24,200,A1-B1-C1,2025,5,20,3
2025-03-10,Vinicius Fernandes,PR,Boneca,Brinquedos,1,"841,55",841.55,222,A2-B2-C1,2025,3,10,2
2025-04-12,"Sr, Arthur Silveira",PR,Carrinho,Brinquedos,10,"2.094,24",20942.4,289,A2-B2-C1,2025,4,12,7
2024-12-22,João Felipe Moura,PR,Feijão,Alimentos,1,"207,49",207.49,74,A1-B1-C1,2024,12,22,1
2025-03-12,Sarah Farias,PR,Bola,Brinquedos,2,"801,95",1603.9,18,D1-A2-B1,2025,3,12,4
2025-05-29,Bianca Fogaça,PR,Leite,Alimentos,9,"2.371,99",21347.91,90,D1-A2-B1,2025,5,29,5
2025-04-11,"Dr, Thales da Mata",PR,Notebook,Eletrônicos,7,"2.220,94",15546.58,270,A2-B2-C1,2025,4,11,6
2025-05-10,"Sra, Gabriela Moreira",PR,Jogo de Tabuleiro,Brinquedos,10,"1.462,31",14623.1,240,A1-B1-C1,2025,5,10,7
2025-06-07,Guilherme da Rocha,PR,Sofá,Móveis,2,"370,94",741.88,181,A1-B1-C1,2025,6,7,7
2025-02-21,Carolina Martins,PR,Tênis,Vestuário,3,"51,35",154.05,169,D1-A2-B1,2025,2,21,6
2025-05-05,"Srta, Alice Martins",PR,Jaqueta,Vestuário,8,"1.872,52",14980.16,75,C3-A2-B2,2025,5,5,2
2025-03-28,Cecília Duarte,PR,Monitor,Eletrônicos,10,"1.452,23",14522.3,54,B2-A1-C2,2025,3,28,6
2025-03-18,Lucca Castro,PR,Boné,Vestuário,4,"22,36",89.44,53,B2-A1-C2,2025,3,18,3
2024-12-30,Nicolas Souza,PR,Sofá,Móveis,1,"2.319,21",2319.21,169,B2-A1-C2,2024,12,30,2
2025-02-21,Pedro Henrique das Neves,PR,Camiseta,Vestuário,5,"182,58",912.9,122,D1-A2-B1,2025,2,21,6
2025-04-13,Ian Santos,PR,Mesa,Móveis,3,"2.495,10",7485.3,277,B2-A1-C2,2025,4,13,1
2024-12-25,Raquel Novaes,PR,Boneca,Brinquedos,10,"984,74",9847.4,122,A2-B2-C1,2024,12,25,4
2025-03-04,"Dr, João Miguel Monteiro",PR,Tablet,Eletrônicos,10,"1.674,70",16747.0,90,A1-B1-C1,2025,3,4,3
2025-02-12,Vitor Gabriel da Paz,PR,Jaqueta,Vestuário,6,"892,65",5355.9,139,B2-A1-C2,2025,2,12,4
2025-03-29,"Dr, Ryan Santos",PR,Leite,Alimentos,5,"637,17",3185.85,63,A1-B1-C1,2025,3,29,7
2025-01-23,Eduardo Alves,PR,Pão,Alimentos,6,"1.558,15",9348.9,169,A2-B2-C1,2025,1,23,5
2025-03-14,Ana Julia Gonçalves,PR,Jaqueta,Vestuário,7,"558,37",3908.59,289,A2-B2-C1,2025,3,14,6
2025-06-08,Emanuel Costela,RJ,Notebook,Eletrônicos,8,"481,94",3855.52,112,B2-A1-C2,2025,6,8,1
2025-02-02,Alícia da Cunha,RJ,Monitor,Eletrônicos,8,"1.751,46",14011.68,97,D1-A2-B1,2025,2,2,1
2025-02-22,Maria Fernanda Jesus,RJ,Fone de Ouvido,Eletrônicos,4,"2.422,84",9691.36,31,A2-B2-C1,2025,2,22,7
2025-02-23,Matheus Viana,RJ,Jaqueta,Vestuário,8,"1.905,04",15240.32,62,B2-A1-C2,2025,2,23,1
2025-04-28,Maria Sophia Alves,RJ,Tênis,Vestuário,6,"2.724,40",16346.4,215,D1-A2-B1,2025,4,28,2
2025-05-26,Vitor Gabriel Moraes,RJ,Quebra-Cabeça,Brinquedos,1,"2.524,68",2524.68,261,C3-A2-B2,2025,5,26,2
2024-12-13,João Vitor da Costa,RJ,Fone de Ouvido,Eletrônicos,7,"215,83",1510.81,246,D1-A2-B1,2024,12,13,6
2025-03-10,"Dr, Henrique Pereira",RJ,Notebook,Eletrônicos,9,"2.897,17",26074.53,197,C3-A2-B2,2025,3,10,2
2025-03-03,Stephany Almeida,RJ,Camiseta,Vestuário,2,"890,08",1780.16,138,D1-A2-B1,2025,3,3,2
2024-12-15,Yuri Almeida,RJ,Arroz,Alimentos,6,"1.141,24",6847.44,266,C3-A2-B2,2024,12,15,1
2025-02-22,Luiz Otávio Cavalcanti,RJ,Mesa,Móveis,7,"1.826,29",12784.03,24,A1-B1-C1,2025,2,22,7
2025-01-23,André Sales,RJ,Mesa,Móveis,9,"1.570,37",14133.33,231,A2-B2-C1,2025,1,23,5
2025-03-02,"Sra, Lívia Lopes",RJ,Bola,Brinquedos,5,"2.533,86",12669.3,180,D1-A2-B1,2025,3,2,1
2025-04-05,Giovanna Costa,RJ,Cadeira,Móveis,4,"2.161,24",8644.96,45,D1-A2-B1,2025,4,5,7
2025-04-18,Francisco Monteiro,RJ,Notebook,Eletrônicos,8,"781,16",6249.28,196,C3-A2-B2,2025,4,18,6
2024-12-19,"Dra, Pietra Souza",RJ,Tênis,Vestuário,3,"697,56",2092.68,179,A1-B1-C1,2024,12,19,5
2024-12-12,Fernando Nascimento,RJ,Monitor,Eletrônicos,2,"294,04",588.08,292,D1-A2-B1,2024,12,12,5
2025-05-03,Luigi Pires,RJ,Notebook,Eletrônicos,10,"520,70",5207.0,125,D1-A2-B1,2025,5,3,7
2025-02-15,Ana Beatriz Martins,RJ,Café,Alimentos,9,"2.905,37",26148.33,61,B2-A1-C2,2025,2,15,7
2025-04-12,Alexandre Novaes,RJ,Quebra-Cabeça,Brinquedos,8,"1.574,21",12593.68,207,A2-B2-C1,2025,4,12,7
2025-02-21,"Sra, Maria Alice das Neves",RJ,Quebra-Cabeça,Brinquedos,4,"981,58",3926.32,137,A2-B2-C1,2025,2,21,6
2025-02-08,"Dra, Lívia Ferreira",RJ,Smartphone,Eletrônicos,4,"2.260,45",9041.8,48,D1-A2-B1,2025,2,8,7
2025-02-14,Brenda Monteiro,RS,Tablet,Eletrônicos,3,"390,42",1171.26,112,B2-A1-C2,2025,2,14,6
2025-02-18,Davi Luiz da Cunha,RS,Café,Alimentos,2,"1.189,63",2379.26,109,B2-A1-C2,2025,2,18,3
2025-06-02,Camila Cardoso,RS,Café,Alimentos,1,"1.733,16",1733.16,161,A1-B1-C1,2025,6,2,2
2025-01-09,Vitor Ribeiro,RS,Leite,Alimentos,5,"1.070,30",5351.5,159,D1-A2-B1,2025,1,9,5
2025-01-05,Thiago Souza,RS,Cadeira,Móveis,3,"2.806,52",8419.56,58,A1-B1-C1,2025,1,5,1
2025-02-04,Eduarda Teixeira,RS,Monitor,Eletrônicos,4,"2.315,37",9261.48,197,C3-A2-B2,2025,2,4,3
2025-05-08,Otávio Duarte,RS,Leite,Alimentos,1,"2.541,62",2541.62,199,D1-A2-B1,2025,5,8,5
2025-02-06,Vitor Gabriel Aragão,RS,Boneca,Brinquedos,9,"610,97",5498.73,283,C3-A2-B2,2025,2,6,5
2025-02-12,Emanuella Alves,RS,Jogo de Tabuleiro,Brinquedos,8,"1.250,26",10002.08,274,B2-A1-C2,2025,2,12,4
2024-12-16,Antônio Gonçalves,RS,Pão,Alimentos,3,"398,59",1195.77,273,A2-B2-C1,2024,12,16,2
2025-03-18,Pedro Lucas Cunha,RS,Tênis,Vestuário,5,"692,95",3464.75,44,A1-B1-C1,2025,3,18,3
2024-12-27,João Pedro Alves,RS,Jaqueta,Vestuário,9,"1.770,78",15937.02,211,C3-A2-B2,2024,12,27,6
2025-02-24,Mirella da Cruz,RS,Smartphone,Eletrônicos,3,"1.217,57",3652.71,224,C3-A2-B2,2025,2,24,2
2025-06-10,Giovanna Caldeira,RS,Cama,Móveis,9,"934,59",8411.31,62,A1-B1-C1,2025,6,10,3
2024-12-20,Lorena Caldeira,RS,Fone de Ouvido,Eletrônicos,10,"162,51",1625.1,50,D1-A2-B1,2024,12,20,6
2024-12-19,Carolina Araújo,RS,Cadeira,Móveis,9,"1.811,24",16301.16,24,A1-B1-C1,2024,12,19,5
2024-12-17,"Dra, Brenda Gonçalves",RS,Smartphone,Eletrônicos,10,"34,15",341.5,145,A2-B2-C1,2024,12,17,3
2025-02-19,Helena Dias,RS,Bola,Brinquedos,1,"505,04",505.04,72,A2-B2-C1,2025,2,19,4
2025-05-29,Heitor Cardoso,RS,Tablet,Eletrônicos,7,"384,78",2693.46,172,A1-B1-C1,2025,5,29,5
2025-06-01,Emanuelly Moreira,RS,Cadeira,Móveis,4,"2.664,66",10658.64,50,A2-B2-C1,2025,6,1,1
2025-05-09,Amanda Barbosa,RS,Tênis,Vestuário,10,"2.368,75",23687.5,37,C3-A2-B2,2025,5,9,6
2025-03-21,Lucca Oliveira,RS,Arroz,Alimentos,10,"2.557,50",25575.0,144,D1-A2-B1,2025,3,21,6
2025-01-12,Vitor Hugo da Conceição,RS,Cadeira,Móveis,5,"1.835,12",9175.6,71,A1-B1-C1,2025,1,12,1
2025-03-30,Matheus Melo,RS,Jogo de Tabuleiro,Brinquedos,4,"418,23",1672.92,225,C3-A2-B2,2025,3,30,1
2025-02-26,Alexia Viana,RS,Jaqueta,Vestuário,7,"384,15",2689.05,72,B2-A1-C2,2025,2,26,4
2024-12-24,"Srta, Raquel Moura",RS,Camiseta,Vestuário,5,"1.132,81",5664.05,240,B2-A1-C2,2024,12,24,3
2025-03-30,Arthur Peixoto,RS,Camiseta,Vestuário,4,"1.886,77",7547.08,61,B2-A1-C2,2025,3,30,1
2025-04-13,Lorena Vieira,RS,Boneca,Brinquedos,9,"491,42",4422.78,38,A2-B2-C1,2025,4,13,1
2025-01-24,Valentina Ramos,RS,Camiseta,Vestuário,9,"607,82",5470.38,117,D1-A2-B1,2025,1,24,6
2025-05-01,João Lucas Ribeiro,RS,Cama,Móveis,1,"1.350,68",1350.68,240,A2-B2-C1,2025,5,1,5
2025-04-12,Benjamin Duarte,RS,Boné,Vestuário,8,"976,21",7809.68,268,D1-A2-B1,2025,4,12,7
2025-01-11,"Sra, Ana Laura da Conceição",RS,Camiseta,Vestuário,1,"1.754,65",1754.65,207,A2-B2-C1,2025,1,11,7
2025-01-25,Diogo Cavalcanti,RS,Boné,Vestuário,8,"2.378,06",19024.48,189,C3-A2-B2,2025,1,25,7
2025-06-06,Stephany Rodrigues,RS,Cadeira,Móveis,8,"1.072,44",8579.52,11,A1-B1-C1,2025,6,6,6
2024-12-21,Benjamin Alves,RS,Jogo de Tabuleiro,Brinquedos,8,"1.022,96",8183.68,229,B2-A1-C2,2024,12,21,7
2025-01-06,Ryan Moraes,RS,Sofá,Móveis,4,"819,91",3279.64,212,B2-A1-C2,2025,1,6,2
2025-01-19,Rebeca Moreira,RS,Mesa,Móveis,6,"753,50",4521.0,157,D1-A2-B1,2025,1,19,1
2025-01-18,Mirella Gonçalves,RS,Boneca,Brinquedos,1,"1.574,61",1574.61,261,A1-B1-C1,2025,1,18,7
2025-01-23,"Dr, João Miguel Oliveira",SP,Bola,Brinquedos,8,"235,34",1882.72,198,A1-B1-C1,2025,1,23,5
2025-04-07,"Sr, Breno Farias",SP,Monitor,Eletrônicos,2,"1.489,84",2979.68,30,A1-B1-C1,2025,4,7,2
2025-05-20,Maitê da Cruz,SP,Calça Jeans,Vestuário,1,"1.263,00",1263.0,267,A1-B1-C1,2025,5,20,3
2024-12-25,Sofia Mendes,SP,Jaqueta,Vestuário,5,"234,04",1170.2,286,A1-B1-C1,2024,12,25,4
2025-04-26,João Miguel Pires,SP,Leite,Alimentos,2,"2.625,24",5250.48,68,A1-B1-C1,2025,4,26,7
2024-12-23,Lucas Teixeira,SP,Sofá,Móveis,10,"1.058,38",10583.8,64,C3-A2-B2,2024,12,23,2
2025-06-01,Maria Eduarda da Costa,SP,Calça Jeans,Vestuário,2,"603,90",1207.8,140,D1-A2-B1,2025,6,1,1
2025-01-19,João Vitor da Mota,SP,Cama,Móveis,7,"588,56",4119.92,30,C3-A2-B2,2025,1,19,1
2025-02-17,Caio Moura,SP,Cadeira,Móveis,7,"1.737,15",12160.05,176,A1-B1-C1,2025,2,17,2
2025-04-30,André Dias,SP,Quebra-Cabeça,Brinquedos,8,"192,91",1543.28,23,A2-B2-C1,2025,4,30,4
2025-01-13,João Felipe Nunes,SP,Estante,Móveis,7,"197,93",1385.51,101,C3-A2-B2,2025,1,13,2
2025-04-17,"Dra, Marina Cavalcanti",SP,Boneca,Brinquedos,7,"593,30",4153.1,90,A1-B1-C1,2025,4,17,5
2025-02-02,Alexandre Sales,SP,Carrinho,Brinquedos,3,"2.256,13",6768.39,11,A1-B1-C1,2025,2,2,1
2025-01-17,Renan da Paz,SP,Jogo de Tabuleiro,Brinquedos,1,"601,34",601.34,236,C3-A2-B2,2025,1,17,6
2025-05-06,Kaique Peixoto,SP,Boné,Vestuário,3,"2.759,63",8278.89,14,B2-A1-C2,2025,5,6,3
2025-03-09,Cauã da Luz,SP,Pão,Alimentos,3,"1.257,06",3771.18,264,B2-A1-C2,2025,3,9,1
2025-01-04,Maria Julia Almeida,SP,Notebook,Eletrônicos,10,"1.492,20",14922.0,216,A1-B1-C1,2025,1,4,7
2025-04-02,Bárbara Correia,SP,Arroz,Alimentos,5,"2.043,33",10216.65,246,B2-A1-C2,2025,4,2,4
2025-01-27,Thiago Azevedo,SP,Cadeira,Móveis,5,"721,18",3605.9,234,A2-B2-C1,2025,1,27,2
2025-01-12,"Dr, Caio Viana",SP,Feijão,Alimentos,4,"1.520,80",6083.2,242,A2-B2-C1,2025,1,12,1
2025-01-27,"Dr, Lucas Sales",SP,Boné,Vestuário,9,"341,75",3075.75,243,A2-B2-C1,2025,1,27,2
2025-05-10,Levi Gomes,SP,Leite,Alimentos,6,"523,59",3141.54,242,A1-B1-C1,2025,5,10,7
2025-01-19,Elisa Ramos,SP,Tênis,Vestuário,10,"2.175,89",21758.9,234,A1-B1-C1,2025,1,19,1
2025-04-05,Pedro Sales,SP,Café,Alimentos,5,"2.426,59",12132.95,135,A2-B2-C1,2025,4,5,7
2024-12-17,Catarina Costa,SP,Pão,Alimentos,5,"158,02",790.1,132,A2-B2-C1,2024,12,17,3
2025-02-15,"Sr, Igor da Mota",SP,Jaqueta,Vestuário,7,"1.733,91",12137.37,264,A1-B1-C1,2025,2,15,7
2025-03-28,Amanda Costela,SP,Leite,Alimentos,6,"1.224,69",7348.14,153,D1-A2-B1,2025,3,28,6
2025-02-24,Maria Vitória Aragão,SP,Arroz,Alimentos,8,"1.491,66",11933.28,196,B2-A1-C2,2025,2,24,2
